2025/09/11 08:30:57 🚀 User Service started successfully on port 8001
2025/09/11 08:30:57 📖 API Documentation: http://localhost:8001/api/v1
2025/09/11 08:30:57 💓 Health Check: http://localhost:8001/health
2025/09/11 08:30:57 🔐 Authentication: POST http://localhost:8001/api/v1/auth/register
[GIN] 2025/09/11 - 08:30:59 | 200 |      30.616µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 08:31:02 | 200 |      20.723µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 08:31:10 | 200 |      24.922µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 08:31:10 | 201 |   47.050836ms |       127.0.0.1 | POST     "/api/v1/auth/register"
[GIN] 2025/09/11 - 08:31:10 | 200 |   46.565009ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 08:31:10 | 200 |     101.965µs |       127.0.0.1 | GET      "/api/v1/users/profile"
[GIN] 2025/09/11 - 08:31:10 | 200 |      33.735µs |       127.0.0.1 | GET      "/api/v1/users/quota"
[GIN] 2025/09/11 - 08:31:10 | 200 |      44.417µs |       127.0.0.1 | GET      "/api/v1/users/activity?limit=10"
[GIN] 2025/09/11 - 08:31:10 | 200 |      84.405µs |       127.0.0.1 | POST     "/api/v1/auth/refresh"
[GIN] 2025/09/11 - 08:31:10 | 200 |      39.637µs |       127.0.0.1 | POST     "/api/v1/auth/logout"
[GIN] 2025/09/11 - 08:31:10 | 200 |   45.489136ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 08:54:20 | 200 |      40.912µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 08:54:20 | 201 |   46.379299ms |       127.0.0.1 | POST     "/api/v1/auth/register"
[GIN] 2025/09/11 - 08:54:20 | 200 |   46.380319ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 08:54:20 | 200 |      41.676µs |       127.0.0.1 | GET      "/api/v1/users/profile"
[GIN] 2025/09/11 - 08:54:20 | 200 |      47.544µs |       127.0.0.1 | GET      "/api/v1/users/quota"
[GIN] 2025/09/11 - 08:54:20 | 200 |      36.284µs |       127.0.0.1 | GET      "/api/v1/users/activity?limit=10"
[GIN] 2025/09/11 - 08:54:20 | 200 |      84.416µs |       127.0.0.1 | POST     "/api/v1/auth/refresh"
[GIN] 2025/09/11 - 08:54:21 | 200 |      30.977µs |       127.0.0.1 | POST     "/api/v1/auth/logout"
[GIN] 2025/09/11 - 08:54:21 | 200 |   46.026809ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 08:58:17 | 200 |      34.113µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 08:58:17 | 201 |   45.805928ms |       127.0.0.1 | POST     "/api/v1/auth/register"
[GIN] 2025/09/11 - 08:58:17 | 200 |   46.345499ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 08:58:17 | 200 |      52.691µs |       127.0.0.1 | GET      "/api/v1/users/profile"
[GIN] 2025/09/11 - 08:58:17 | 200 |      34.537µs |       127.0.0.1 | GET      "/api/v1/users/quota"
[GIN] 2025/09/11 - 08:58:17 | 200 |      44.948µs |       127.0.0.1 | GET      "/api/v1/users/activity?limit=10"
[GIN] 2025/09/11 - 08:58:17 | 200 |      79.915µs |       127.0.0.1 | POST     "/api/v1/auth/refresh"
[GIN] 2025/09/11 - 08:58:17 | 200 |      35.599µs |       127.0.0.1 | POST     "/api/v1/auth/logout"
[GIN] 2025/09/11 - 08:58:17 | 200 |   46.103147ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 09:11:37 | 200 |      37.166µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 09:11:37 | 201 |   47.879508ms |       127.0.0.1 | POST     "/api/v1/auth/register"
[GIN] 2025/09/11 - 09:11:37 | 200 |   46.232882ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 09:11:37 | 200 |      51.619µs |       127.0.0.1 | GET      "/api/v1/users/profile"
[GIN] 2025/09/11 - 09:11:37 | 200 |      28.863µs |       127.0.0.1 | GET      "/api/v1/users/quota"
[GIN] 2025/09/11 - 09:11:37 | 200 |      27.787µs |       127.0.0.1 | GET      "/api/v1/users/activity?limit=10"
[GIN] 2025/09/11 - 09:11:37 | 200 |      87.119µs |       127.0.0.1 | POST     "/api/v1/auth/refresh"
[GIN] 2025/09/11 - 09:11:37 | 200 |      35.136µs |       127.0.0.1 | POST     "/api/v1/auth/logout"
[GIN] 2025/09/11 - 09:11:37 | 200 |   46.230696ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 09:13:59 | 200 |      29.681µs |       127.0.0.1 | GET      "/health"
[GIN] 2025/09/11 - 09:13:59 | 201 |   47.032634ms |       127.0.0.1 | POST     "/api/v1/auth/register"
[GIN] 2025/09/11 - 09:14:00 | 200 |   45.749553ms |       127.0.0.1 | POST     "/api/v1/auth/login"
[GIN] 2025/09/11 - 09:14:00 | 200 |      37.343µs |       127.0.0.1 | GET      "/api/v1/users/profile"
[GIN] 2025/09/11 - 09:14:00 | 200 |      28.679µs |       127.0.0.1 | GET      "/api/v1/users/quota"
[GIN] 2025/09/11 - 09:14:00 | 200 |      27.325µs |       127.0.0.1 | GET      "/api/v1/users/activity?limit=10"
[GIN] 2025/09/11 - 09:14:00 | 200 |      85.832µs |       127.0.0.1 | POST     "/api/v1/auth/refresh"
[GIN] 2025/09/11 - 09:14:00 | 200 |      33.024µs |       127.0.0.1 | POST     "/api/v1/auth/logout"
